user_id,full_name,date_of_birth,gender,employment_status,monthly_income,created_at
79,User 79,1973-8-12,F,EMPLOYED,,2024-07-31 16:33:39.194175
80,User 80,1998-11-11,M,salaried,16564362.0,2024-12-14 16:33:39.194191
81,User 81,1965-1-18,F,UNUMEPLOYED,13626540.0,2024-03-02 16:33:39.194207
82,User 82,1961-6-29,F,SALARIED,11259539.0,2024-04-11 16:33:39.194223
83,User 83,1972-10-5,F,UNUMEPLOYED,20831143.0,2024-02-22 16:33:39.194238
84,User 84,1983-11-28,M,UNUMEPLOYED,-5319662.0,2024-04-22 16:33:39.194254
85,User 85,1960-4-19,F,SALARIED,15422888.0,2024-09-16 16:33:39.194270
86,User 86,2000-6-27,F,EMPLOYED,-6616731.0,2024-04-10 16:33:39.194286
87,User 87,1982-2-10,F,SALARIED,24616403.0,2024-11-19 16:33:39.194302
88,User 88,1963-3-18,F,SALARIED,16390466.0,2024-05-21 16:33:39.194317
89,User 89,1961-8-8,M,EMPLOYED,25548859.0,2024-11-26 16:33:39.194332
90,User 90,1977-8-18,M,unemployed,20163901.0,2024-01-03 16:33:39.194348
91,User 91,1986-2-6,M,unemployed,9649621.0,2024-10-04 16:33:39.194364
92,User 92,1995-11-15,M,SALARIED,29428522.0,2024-11-30 16:33:39.194379
93,User 93,1984-5-16,M,EMPLOYED,25650764.0,2024-12-02 16:33:39.194395
94,User 94,1976-5-19,M,UNUMEPLOYED,21659182.0,2024-04-17 16:33:39.194411
95,User 95,1972-1-26,M,SALARIED,,2024-04-09 16:33:39.194426
96,User 96,1997-5-29,M,employed,8353420.0,2024-11-26 16:33:39.194442
97,User 97,1961-1-25,F,UNUMEPLOYED,15305785.0,2024-06-30 16:33:39.194459
98,User 98,1998-7-24,M,SALARIED,19318461.0,2024-06-26 16:33:39.194475
99,User 99,1976-12-22,M,employed,15094644.0,2024-05-10 16:33:39.194491
100,User 100,1960-7-25,F,employed,17988660.0,2024-10-12 16:33:39.194507
